Name	shannon	evenness	observed
AHH1	5.663554634	0.683558201	312
AHH10	7.298730482	0.828406009	449
AHH11	7.031632723	0.814164449	398
AHH12	5.745325162	0.664118695	402
AHH13	7.294193451	0.826690452	453
AHH14	7.286331821	0.824319927	458
AHH15	6.951932723	0.799671381	414
AHH16	6.722608159	0.769643005	426
AHH17	6.985943893	0.809214384	397
AHH18	6.176920165	0.728777069	356
AHH19	7.37964671	0.827974682	482
AHH2	6.798766659	0.785889034	402
AHH20	7.054352179	0.793899756	473
AHH21	7.209331314	0.817367918	452
AHH22	6.845406969	0.798072139	382
AHH23	7.404900389	0.833924316	471
AHH24	7.12433637	0.808907604	448
AHH25	5.98083945	0.687144498	417
AHH26	7.162213202	0.804937919	477
AHH27	7.353134164	0.82092781	497
AHH28	6.302611311	0.74612871	349
AHH29	6.799472857	0.780888069	418
AHH3	7.134805342	0.823373198	406
AHH30	6.71012339	0.776612635	399
AHH31	7.404300644	0.838264785	456
AHH32	6.908901951	0.781342254	459
AHH33	7.530610455	0.839927687	500
AHH34	7.261354999	0.8244649	448
AHH35	7.11023413	0.801016229	470
AHH36	6.442148584	0.760799325	354
AHH37	6.906038502	0.787624695	436
AHH38	6.722337098	0.784416612	380
AHH39	6.908321449	0.811621499	365
AHH4	7.262576152	0.81789606	471
AHH40	7.02696011	0.78708948	487
AHH41	6.812208574	0.776923514	436
AHH42	7.049234571	0.80395602	436
AHH43	7.396063486	0.832070775	474
AHH44	5.423708578	0.685427073	241
AHH45	7.068813639	0.794171376	478
AHH46	6.515153576	0.77358151	343
AHH47	7.360293509	0.823337803	491
AHH48	4.226074823	0.552352146	201
AHH49	7.694637839	0.863026238	483
AHH5	7.161463693	0.818622065	430
AHH50	6.989122991	0.788467534	466
AHH6	6.768324671	0.780124273	409
AHH7	7.363566995	0.824246919	489
AHH8	7.129420368	0.794416204	503
AHH9	7.209368743	0.801292089	511
ALH1	6.455484186	0.73084621	456
ALH10	5.816993666	0.692779262	337
ALH11	7.059914121	0.820221121	390
ALH12	6.691008711	0.778707264	386
ALH13	6.905114963	0.783160688	451
ALH14	6.655478161	0.778000939	376
ALH15	6.391881221	0.763602905	331
ALH16	7.327088943	0.834391163	440
ALH17	5.916322666	0.711317683	319
ALH18	6.034380708	0.729131223	310
ALH19	6.464901503	0.739567113	428
ALH2	6.133483758	0.719261249	369
ALH20	6.33749022	0.739509568	380
ALH21	7.005395346	0.80712154	410
ALH22	5.414758098	0.651725703	317
ALH23	7.112365372	0.822138813	402
ALH24	7.172829599	0.806131061	477
ALH25	5.942795567	0.727399036	288
ALH26	6.761991247	0.79369483	367
ALH27	4.733214256	0.580059913	286
ALH28	6.270025194	0.731313647	381
ALH29	6.631229864	0.752370602	450
ALH3	6.872042996	0.795686197	398
ALH30	6.951559532	0.798671478	417
ALH31	6.495114748	0.768918048	349
ALH32	6.978331782	0.797078407	432
ALH33	6.923566996	0.801651953	398
ALH34	6.839554882	0.79809453	380
ALH35	6.90782961	0.7968533	407
ALH36	4.12566547	0.518677854	248
ALH37	6.485375169	0.736359012	448
ALH38	5.106787501	0.616704368	311
ALH39	7.236420096	0.826557748	432
ALH4	7.012607212	0.809271248	406
ALH40	6.910875649	0.785825432	444
ALH41	6.80036938	0.788050567	396
ALH42	7.33410153	0.83394982	444
ALH43	6.627053866	0.781512452	357
ALH44	7.588504475	0.857591574	461
ALH45	6.990323168	0.79967392	428
ALH46	6.850279516	0.814188549	341
ALH47	7.173089089	0.815040413	446
ALH48	6.689990399	0.782739325	374
ALH49	7.174537091	0.809102466	467
ALH5	6.619409339	0.778040564	364
ALH50	6.728092036	0.749697038	503
ALH51	6.778577993	0.789587374	384
ALH52	6.183071902	0.746260922	312
ALH53	6.947250727	0.804057151	399
ALH54	6.284324209	0.761054746	306
ALH55	5.876418266	0.703497543	327
ALH56	6.989183109	0.789304008	463
ALH57	7.118946474	0.810688402	440
ALH58	6.701244285	0.774295333	403
ALH59	7.317562514	0.815903041	501
ALH6	6.921301726	0.783582917	456
ALH60	5.9880105	0.743866231	265
ALH61	6.525848018	0.756238073	396
ALH62	6.929237445	0.798996494	408
ALH63	7.156492666	0.809630917	458
ALH64	6.517047959	0.740226144	447
ALH65	6.860460326	0.796365803	392
ALH66	7.272796234	0.819047024	471
ALH67	7.572909967	0.83455939	539
ALH68	6.684099319	0.751716364	475
ALH69	7.053863465	0.812376813	411
ALH7	6.95124488	0.793080059	435
ALH70	5.546888761	0.660274773	338
ALH71	6.799207302	0.795877558	373
ALH72	6.013815456	0.734303331	292
ALH73	6.53443925	0.753473105	408
ALH74	6.586662493	0.77383152	365
ALH75	6.454490941	0.771484862	330
ALH76	7.245080936	0.818780615	461
ALH77	6.715604708	0.77342035	411
ALH78	6.372622146	0.729857897	425
ALH79	6.295530776	0.735594917	377
ALH8	6.320646934	0.751617683	340
ALH80	6.91224758	0.788630787	435
ALH81	7.391249691	0.841697634	440
ALH82	6.587262204	0.76968198	377
ALH83	7.070655125	0.808552256	429
ALH84	6.622303662	0.783975188	349
ALH85	7.246682611	0.829642075	426
ALH86	6.977464893	0.793104494	445
ALH87	6.982651986	0.815153857	379
ALH88	6.700098939	0.759358503	453
ALH89	6.071817969	0.717757202	352
ALH9	7.125615814	0.796303463	494
ALH90	5.398510304	0.66324421	282
ALH91	4.296152995	0.535152379	261
ALH92	6.661416144	0.771298561	398
ALH93	6.94816891	0.777236685	491
ALH94	6.194716043	0.728462251	363
ALH95	7.317419788	0.830830579	448
ALH96	6.836778266	0.784861691	419
CHH1	6.327158768	0.746502804	356
CHH10	7.342749759	0.830999085	457
CHH11	5.686772187	0.723693808	232
CHH12	7.21030739	0.81601022	457
CHH13	7.510021084	0.841197117	487
CHH14	6.197134221	0.72154385	385
CHH15	6.91176534	0.787980806	437
CHH16	7.526061173	0.860629408	429
CHH17	5.381066204	0.660686556	283
CHH18	6.734583586	0.8213235	294
CHH19	7.394653402	0.82085941	515
CHH2	7.448676612	0.841492069	462
CHH20	5.78291203	0.718387681	265
CHH3	6.353314782	0.761802044	324
CHH4	5.911709509	0.703344439	339
CHH5	6.080555098	0.725657063	333
CHH6	7.145086786	0.810377686	451
CHH7	6.884481961	0.788788348	424
CHH8	6.740739798	0.784836857	385
CHH9	6.744556579	0.781582785	396
GLH10	4.96675258	0.618261055	262
GLH12	6.323742397	0.747537504	352
GLH13	7.064848959	0.812010564	416
GLH15	6.873664843	0.821158945	331
GLH16	3.617551727	0.494682022	159
GLH17	6.837950231	0.785618794	417
GLH18	7.062143321	0.810094683	421
GLH21	7.188607882	0.814137442	455
GLH22	6.007045406	0.726648181	308
GLH23	7.263247709	0.821708367	458
GLH24	6.613203819	0.764756937	401
GLH25	7.310345116	0.824418103	467
GLH26	7.31500068	0.824656134	468
GLH27	5.444779957	0.699720892	220
GLH28	5.949016874	0.745211282	253
GLH29	7.05558794	0.801101807	448
GLH30	5.218202089	0.680753217	203
GLH31	6.760607197	0.789936301	377
GLH32	6.190056421	0.744228609	319
GLH33	7.105406402	0.807945236	444
GLH34	5.677078957	0.726546958	225
GLH35	5.987419725	0.746340714	260
GLH36	6.595239658	0.786269202	335
GLH37	5.944424853	0.735500524	271
GLH38	5.5250814	0.704236621	230
GLH39	6.520712244	0.786573874	313
GLH40	5.635557929	0.716610445	233
GLH41	7.190413755	0.818217283	442
GLH43	7.177472039	0.82429953	418
GLH44	6.212297056	0.750628767	310
GLH45	6.804471192	0.781772355	417
GLH46	5.857425232	0.754671979	217
GLH47	7.045524006	0.802327229	440
GLH48	5.831189497	0.701847803	317
GLH49	5.38305461	0.700966021	205
GLH50	5.739228297	0.686711646	328
GLH51	3.825329571	0.541364462	134
GLH52	4.338717376	0.565494897	204
GLH53	3.755363098	0.521601945	147
GLH55	5.989493705	0.756928784	241
GLH56	4.789048061	0.642720759	175
GLH57	5.40106328	0.702030602	207
GLH58	5.246696624	0.635394234	306
GLH59	7.015505257	0.798313956	442
GLH61	4.502216392	0.577140644	223
GLH62	7.435409469	0.834231099	482
GLH63	5.715365977	0.717489424	250
GLH64	7.78491452	0.852260914	562
GLH65	7.347131075	0.82240715	489
GLH66	5.619173948	0.668879251	338
GLH68	7.513908378	0.850978972	455
GLH69	7.222991896	0.817154132	458
GLH7	7.153712809	0.824544518	409
GLH71	6.743637758	0.793756218	361
GLH73	5.179767074	0.678925804	198
GLH74	7.355388636	0.83483671	449
GLH76	7.379715637	0.841329818	437
GLH77	6.502350353	0.780089483	323
GLH79	7.447149869	0.843115884	456
GLH8	5.897509075	0.751107689	231
GLH80	5.104045924	0.641211644	249
GLH81	7.137154566	0.807155823	459
GLH82	6.779957326	0.76197742	477
GLH84	7.051400856	0.806350468	429
GLH85	6.894359081	0.782509849	449
GLH87	7.12482676	0.806048478	458
GLH88	7.327155367	0.829530919	456
GLH89	5.38675351	0.641213048	338
GLH90	7.550971523	0.836403428	522
GLH91	7.078819404	0.826013848	380
