Name	shannon	evenness	observed
AHT1	6.625223389	0.759677564	422
AHT10	6.813344617	0.782481176	418
AHT11	7.211477973	0.813552181	466
AHT12	7.233483228	0.808357887	494
AHT13	6.993943732	0.796156454	441
AHT14	7.175471715	0.802663251	491
AHT15	6.617503813	0.76059418	416
AHT16	7.065727918	0.789868904	493
AHT17	6.996963833	0.792717997	454
AHT18	5.115175624	0.631656626	274
AHT19	5.158645561	0.614686659	336
AHT2	7.143799531	0.805355784	468
AHT20	6.389627129	0.752442024	360
AHT21	6.939737458	0.784273158	461
AHT22	7.453853644	0.847880279	443
AHT23	7.422778962	0.833094055	481
AHT24	7.299311723	0.82697237	454
AHT25	6.534241797	0.752837926	410
AHT26	5.620557413	0.677614756	314
AHT27	7.099076975	0.786348127	522
AHT28	7.387665739	0.826671707	490
AHT29	6.83505645	0.778942714	438
AHT3	5.26289681	0.616045559	373
AHT30	6.907083635	0.774694603	483
AHT31	6.714867395	0.770258848	421
AHT32	5.964929714	0.694811388	384
AHT33	7.215856389	0.816930402	456
AHT34	7.05782255	0.798183998	459
AHT35	7.419870135	0.831930027	484
AHT36	7.084203161	0.807639704	437
AHT37	7.121179054	0.804210604	463
AHT38	7.164457588	0.814961306	443
AHT39	7.002538021	0.799234957	434
AHT4	7.011870368	0.808524731	408
AHT40	7.187993706	0.818246157	441
AHT41	6.659895831	0.773084172	392
AHT42	7.240316141	0.805747107	507
AHT43	6.715359273	0.779855991	391
AHT44	6.956410571	0.791589406	442
AHT45	6.623392928	0.761271056	416
AHT46	6.073402311	0.73100078	317
AHT47	6.886739427	0.7833707	443
AHT48	7.419918186	0.832493023	482
AHT49	5.92615341	0.701219427	350
AHT5	7.008312234	0.790081632	468
AHT50	6.248905573	0.740497654	347
AHT51	6.975246786	0.800126828	421
AHT52	7.591893693	0.839657143	527
AHT53	6.947482732	0.784871182	462
AHT54	6.547861214	0.765078212	377
AHT55	6.567338933	0.778616289	346
AHT56	6.980811943	0.785085667	475
AHT57	5.975455545	0.720003105	315
AHT58	5.829117459	0.678399372	386
AHT59	6.940513161	0.794282431	427
AHT6	6.267105354	0.755562616	314
AHT60	6.504127477	0.7546805	393
AHT61	7.262086804	0.814784805	482
AHT62	5.554725297	0.675033137	300
AHT63	6.322142844	0.750290079	344
AHT64	7.030554203	0.80365789	430
AHT65	7.210515205	0.809270677	481
AHT66	6.505762831	0.780917986	322
AHT67	7.255794687	0.826891255	438
