	Name	shannon	evenness	observed	Group	Study
1	AHH1	5.663554634	0.683558201	312	HH	Study1
2	AHH10	7.298730482	0.828406009	449	HH	Study1
3	AHH11	7.031632723	0.814164449	398	HH	Study1
4	AHH12	5.745325162	0.664118695	402	HH	Study1
5	AHH13	7.294193451	0.826690452	453	HH	Study1
6	AHH14	7.286331821	0.824319927	458	HH	Study1
7	AHH15	6.951932723	0.799671381	414	HH	Study1
8	AHH16	6.722608159	0.769643005	426	HH	Study1
9	AHH17	6.985943893	0.809214384	397	HH	Study1
10	AHH18	6.176920165	0.728777069	356	HH	Study1
11	AHH19	7.37964671	0.827974682	482	HH	Study1
12	AHH2	6.798766659	0.785889034	402	HH	Study1
13	AHH20	7.054352179	0.793899756	473	HH	Study1
14	AHH21	7.209331314	0.817367918	452	HH	Study1
15	AHH22	6.845406969	0.798072139	382	HH	Study1
16	AHH23	7.404900389	0.833924316	471	HH	Study1
17	AHH24	7.12433637	0.808907604	448	HH	Study1
18	AHH25	5.98083945	0.687144498	417	HH	Study1
19	AHH26	7.162213202	0.804937919	477	HH	Study1
20	AHH27	7.353134164	0.82092781	497	HH	Study1
21	AHH28	6.302611311	0.74612871	349	HH	Study1
22	AHH29	6.799472857	0.780888069	418	HH	Study1
23	AHH3	7.134805342	0.823373198	406	HH	Study1
24	AHH30	6.71012339	0.776612635	399	HH	Study1
25	AHH31	7.404300644	0.838264785	456	HH	Study1
26	AHH32	6.908901951	0.781342254	459	HH	Study1
27	AHH33	7.530610455	0.839927687	500	HH	Study1
28	AHH34	7.261354999	0.8244649	448	HH	Study1
29	AHH35	7.11023413	0.801016229	470	HH	Study1
30	AHH36	6.442148584	0.760799325	354	HH	Study1
31	AHH37	6.906038502	0.787624695	436	HH	Study1
32	AHH38	6.722337098	0.784416612	380	HH	Study1
33	AHH39	6.908321449	0.811621499	365	HH	Study1
34	AHH4	7.262576152	0.81789606	471	HH	Study1
35	AHH40	7.02696011	0.78708948	487	HH	Study1
36	AHH41	6.812208574	0.776923514	436	HH	Study1
37	AHH42	7.049234571	0.80395602	436	HH	Study1
38	AHH43	7.396063486	0.832070775	474	HH	Study1
39	AHH44	5.423708578	0.685427073	241	HH	Study1
40	AHH45	7.068813639	0.794171376	478	HH	Study1
41	AHH46	6.515153576	0.77358151	343	HH	Study1
42	AHH47	7.360293509	0.823337803	491	HH	Study1
43	AHH48	4.226074823	0.552352146	201	HH	Study1
44	AHH49	7.694637839	0.863026238	483	HH	Study1
45	AHH5	7.161463693	0.818622065	430	HH	Study1
46	AHH50	6.989122991	0.788467534	466	HH	Study1
47	AHH6	6.768324671	0.780124273	409	HH	Study1
48	AHH7	7.363566995	0.824246919	489	HH	Study1
49	AHH8	7.129420368	0.794416204	503	HH	Study1
50	AHH9	7.209368743	0.801292089	511	HH	Study1
51	AHT1	6.625223389	0.759677564	422	HT	Study1
52	AHT10	6.813344617	0.782481176	418	HT	Study1
53	AHT11	7.211477973	0.813552181	466	HT	Study1
54	AHT12	7.233483228	0.808357887	494	HT	Study1
55	AHT13	6.993943732	0.796156454	441	HT	Study1
56	AHT14	7.175471715	0.802663251	491	HT	Study1
57	AHT15	6.617503813	0.76059418	416	HT	Study1
58	AHT16	7.065727918	0.789868904	493	HT	Study1
59	AHT17	6.996963833	0.792717997	454	HT	Study1
60	AHT18	5.115175624	0.631656626	274	HT	Study1
61	AHT19	5.158645561	0.614686659	336	HT	Study1
62	AHT2	7.143799531	0.805355784	468	HT	Study1
63	AHT20	6.389627129	0.752442024	360	HT	Study1
64	AHT21	6.939737458	0.784273158	461	HT	Study1
65	AHT22	7.453853644	0.847880279	443	HT	Study1
66	AHT23	7.422778962	0.833094055	481	HT	Study1
67	AHT24	7.299311723	0.82697237	454	HT	Study1
68	AHT25	6.534241797	0.752837926	410	HT	Study1
69	AHT26	5.620557413	0.677614756	314	HT	Study1
70	AHT27	7.099076975	0.786348127	522	HT	Study1
71	AHT28	7.387665739	0.826671707	490	HT	Study1
72	AHT29	6.83505645	0.778942714	438	HT	Study1
73	AHT3	5.26289681	0.616045559	373	HT	Study1
74	AHT30	6.907083635	0.774694603	483	HT	Study1
75	AHT31	6.714867395	0.770258848	421	HT	Study1
76	AHT32	5.964929714	0.694811388	384	HT	Study1
77	AHT33	7.215856389	0.816930402	456	HT	Study1
78	AHT34	7.05782255	0.798183998	459	HT	Study1
79	AHT35	7.419870135	0.831930027	484	HT	Study1
80	AHT36	7.084203161	0.807639704	437	HT	Study1
81	AHT37	7.121179054	0.804210604	463	HT	Study1
82	AHT38	7.164457588	0.814961306	443	HT	Study1
83	AHT39	7.002538021	0.799234957	434	HT	Study1
84	AHT4	7.011870368	0.808524731	408	HT	Study1
85	AHT40	7.187993706	0.818246157	441	HT	Study1
86	AHT41	6.659895831	0.773084172	392	HT	Study1
87	AHT42	7.240316141	0.805747107	507	HT	Study1
88	AHT43	6.715359273	0.779855991	391	HT	Study1
89	AHT44	6.956410571	0.791589406	442	HT	Study1
90	AHT45	6.623392928	0.761271056	416	HT	Study1
91	AHT46	6.073402311	0.73100078	317	HT	Study1
92	AHT47	6.886739427	0.7833707	443	HT	Study1
93	AHT48	7.419918186	0.832493023	482	HT	Study1
94	AHT49	5.92615341	0.701219427	350	HT	Study1
95	AHT5	7.008312234	0.790081632	468	HT	Study1
96	AHT50	6.248905573	0.740497654	347	HT	Study1
97	AHT51	6.975246786	0.800126828	421	HT	Study1
98	AHT52	7.591893693	0.839657143	527	HT	Study1
99	AHT53	6.947482732	0.784871182	462	HT	Study1
100	AHT54	6.547861214	0.765078212	377	HT	Study1
101	AHT55	6.567338933	0.778616289	346	HT	Study1
102	AHT56	6.980811943	0.785085667	475	HT	Study1
103	AHT57	5.975455545	0.720003105	315	HT	Study1
104	AHT58	5.829117459	0.678399372	386	HT	Study1
105	AHT59	6.940513161	0.794282431	427	HT	Study1
106	AHT6	6.267105354	0.755562616	314	HT	Study1
107	AHT60	6.504127477	0.7546805	393	HT	Study1
108	AHT61	7.262086804	0.814784805	482	HT	Study1
109	AHT62	5.554725297	0.675033137	300	HT	Study1
110	AHT63	6.322142844	0.750290079	344	HT	Study1
111	AHT64	7.030554203	0.80365789	430	HT	Study1
112	AHT65	7.210515205	0.809270677	481	HT	Study1
113	AHT66	6.505762831	0.780917986	322	HT	Study1
114	AHT67	7.255794687	0.826891255	438	HT	Study1
115	AHT68	7.207257926	0.815665103	457	HT	Study1
116	AHT69	6.951059629	0.796106476	425	HT	Study1
117	AHT7	5.96394955	0.700998297	364	HT	Study1
118	AHT70	7.165258759	0.803920983	482	HT	Study1
119	AHT71	6.494696995	0.755860281	386	HT	Study1
120	AHT72	7.229387321	0.814721683	469	HT	Study1
121	AHT73	6.302503072	0.72913095	400	HT	Study1
122	AHT74	6.567745611	0.768436494	374	HT	Study1
123	AHT75	7.232057186	0.807149065	498	HT	Study1
124	AHT76	6.282629621	0.722682354	414	HT	Study1
125	AHT77	7.09839981	0.80192059	462	HT	Study1
126	AHT78	7.092813679	0.797409668	476	HT	Study1
127	AHT79	5.429161369	0.655634786	311	HT	Study1
128	AHT8	6.877727258	0.772180503	480	HT	Study1
129	AHT80	7.321000531	0.824191684	472	HT	Study1
130	AHT81	6.923117076	0.795720366	416	HT	Study1
131	AHT82	7.069263151	0.799762436	458	HT	Study1
132	AHT83	6.257987355	0.724891792	397	HT	Study1
133	AHT84	6.560699329	0.76454329	383	HT	Study1
134	AHT85	7.302392172	0.824675405	463	HT	Study1
135	AHT86	5.579611149	0.670470964	320	HT	Study1
136	AHT87	6.844197679	0.785403356	420	HT	Study1
137	AHT88	6.442438105	0.746887963	395	HT	Study1
138	AHT89	7.060462343	0.789798062	491	HT	Study1
139	AHT9	6.519339681	0.774465895	342	HT	Study1
140	AHT90	7.227961783	0.81888881	454	HT	Study1
141	AHT91	7.540965077	0.829337566	546	HT	Study1
142	ALH1	6.455484186	0.73084621	456	LA	Study1
143	ALH10	5.816993666	0.692779262	337	LA	Study1
144	ALH11	7.059914121	0.820221121	390	LA	Study1
145	ALH12	6.691008711	0.778707264	386	LA	Study1
146	ALH13	6.905114963	0.783160688	451	LA	Study1
147	ALH14	6.655478161	0.778000939	376	LA	Study1
148	ALH15	6.391881221	0.763602905	331	LA	Study1
149	ALH16	7.327088943	0.834391163	440	LA	Study1
150	ALH17	5.916322666	0.711317683	319	LA	Study1
151	ALH18	6.034380708	0.729131223	310	LA	Study1
152	ALH19	6.464901503	0.739567113	428	LA	Study1
153	ALH2	6.133483758	0.719261249	369	LA	Study1
154	ALH20	6.33749022	0.739509568	380	LA	Study1
155	ALH21	7.005395346	0.80712154	410	LA	Study1
156	ALH22	5.414758098	0.651725703	317	LA	Study1
157	ALH23	7.112365372	0.822138813	402	LA	Study1
158	ALH24	7.172829599	0.806131061	477	LA	Study1
159	ALH25	5.942795567	0.727399036	288	LA	Study1
160	ALH26	6.761991247	0.79369483	367	LA	Study1
161	ALH27	4.733214256	0.580059913	286	LA	Study1
162	ALH28	6.270025194	0.731313647	381	LA	Study1
163	ALH29	6.631229864	0.752370602	450	LA	Study1
164	ALH3	6.872042996	0.795686197	398	LA	Study1
165	ALH30	6.951559532	0.798671478	417	LA	Study1
166	ALH31	6.495114748	0.768918048	349	LA	Study1
167	ALH32	6.978331782	0.797078407	432	LA	Study1
168	ALH33	6.923566996	0.801651953	398	LA	Study1
169	ALH34	6.839554882	0.79809453	380	LA	Study1
170	ALH35	6.90782961	0.7968533	407	LA	Study1
171	ALH36	4.12566547	0.518677854	248	LA	Study1
172	ALH37	6.485375169	0.736359012	448	LA	Study1
173	ALH38	5.106787501	0.616704368	311	LA	Study1
174	ALH39	7.236420096	0.826557748	432	LA	Study1
175	ALH4	7.012607212	0.809271248	406	LA	Study1
176	ALH40	6.910875649	0.785825432	444	LA	Study1
177	ALH41	6.80036938	0.788050567	396	LA	Study1
178	ALH42	7.33410153	0.83394982	444	LA	Study1
179	ALH43	6.627053866	0.781512452	357	LA	Study1
180	ALH44	7.588504475	0.857591574	461	LA	Study1
181	ALH45	6.990323168	0.79967392	428	LA	Study1
182	ALH46	6.850279516	0.814188549	341	LA	Study1
183	ALH47	7.173089089	0.815040413	446	LA	Study1
184	ALH48	6.689990399	0.782739325	374	LA	Study1
185	ALH49	7.174537091	0.809102466	467	LA	Study1
186	ALH5	6.619409339	0.778040564	364	LA	Study1
187	ALH50	6.728092036	0.749697038	503	LA	Study1
188	ALH51	6.778577993	0.789587374	384	LA	Study1
189	ALH52	6.183071902	0.746260922	312	LA	Study1
190	ALH53	6.947250727	0.804057151	399	LA	Study1
191	ALH54	6.284324209	0.761054746	306	LA	Study1
192	ALH55	5.876418266	0.703497543	327	LA	Study1
193	ALH56	6.989183109	0.789304008	463	LA	Study1
