	num	err.mean	err.1	err.2	err.3	err.4	err.5	err.6	err.7	err.8	err.9	err.10
1	80	0.071326165	0.075268817	0.071684588	0.0609319	0.071684588	0.071684588	0.078853047	0.071684588	0.071684588	0.064516129	0.075268817
2	72	0.067741935	0.071684588	0.0609319	0.075268817	0.068100358	0.064516129	0.075268817	0.0609319	0.071684588	0.0609319	0.068100358
3	65	0.070967742	0.071684588	0.075268817	0.075268817	0.071684588	0.05734767	0.068100358	0.068100358	0.071684588	0.071684588	0.078853047
4	58	0.070967742	0.068100358	0.075268817	0.071684588	0.071684588	0.071684588	0.071684588	0.071684588	0.068100358	0.071684588	0.068100358
5	52	0.06953405	0.071684588	0.071684588	0.075268817	0.068100358	0.064516129	0.068100358	0.068100358	0.068100358	0.071684588	0.068100358
6	47	0.069892473	0.071684588	0.078853047	0.064516129	0.068100358	0.064516129	0.078853047	0.075268817	0.05734767	0.071684588	0.068100358
7	43	0.071684588	0.078853047	0.075268817	0.071684588	0.071684588	0.064516129	0.082437276	0.05734767	0.071684588	0.068100358	0.075268817
8	38	0.070609319	0.078853047	0.075268817	0.075268817	0.075268817	0.064516129	0.068100358	0.064516129	0.071684588	0.0609319	0.071684588
9	34	0.07311828	0.071684588	0.071684588	0.064516129	0.078853047	0.078853047	0.075268817	0.075268817	0.075268817	0.068100358	0.071684588
10	31	0.074910394	0.078853047	0.078853047	0.071684588	0.071684588	0.086021505	0.071684588	0.071684588	0.071684588	0.068100358	0.078853047
11	28	0.076702509	0.082437276	0.071684588	0.086021505	0.078853047	0.075268817	0.071684588	0.082437276	0.075268817	0.071684588	0.071684588
12	25	0.07921147	0.078853047	0.068100358	0.086021505	0.086021505	0.078853047	0.082437276	0.078853047	0.075268817	0.078853047	0.078853047
13	23	0.084229391	0.082437276	0.086021505	0.089605735	0.082437276	0.071684588	0.096774194	0.089605735	0.086021505	0.071684588	0.086021505
14	20	0.085663082	0.093189964	0.078853047	0.082437276	0.089605735	0.075268817	0.100358423	0.086021505	0.089605735	0.064516129	0.096774194
15	18	0.088888889	0.093189964	0.086021505	0.089605735	0.086021505	0.086021505	0.096774194	0.089605735	0.093189964	0.068100358	0.100358423
16	16	0.094623656	0.096774194	0.103942652	0.086021505	0.093189964	0.089605735	0.111111111	0.089605735	0.096774194	0.071684588	0.107526882
17	15	0.096057348	0.093189964	0.103942652	0.089605735	0.093189964	0.078853047	0.111111111	0.093189964	0.103942652	0.082437276	0.111111111
18	13	0.093548387	0.086021505	0.107526882	0.093189964	0.089605735	0.078853047	0.103942652	0.089605735	0.086021505	0.089605735	0.111111111
19	12	0.095340502	0.093189964	0.089605735	0.093189964	0.111111111	0.078853047	0.103942652	0.078853047	0.107526882	0.089605735	0.107526882
20	11	0.102867384	0.082437276	0.121863799	0.111111111	0.114695341	0.086021505	0.11827957	0.082437276	0.11827957	0.093189964	0.100358423
21	10	0.107885305	0.089605735	0.111111111	0.11827957	0.132616487	0.103942652	0.107526882	0.093189964	0.129032258	0.093189964	0.100358423
22	9	0.113978495	0.107526882	0.121863799	0.114695341	0.139784946	0.125448029	0.103942652	0.089605735	0.125448029	0.107526882	0.103942652
23	8	0.114695341	0.11827957	0.11827957	0.111111111	0.125448029	0.11827957	0.107526882	0.100358423	0.129032258	0.107526882	0.111111111
24	7	0.122580645	0.132616487	0.143369176	0.125448029	0.11827957	0.132616487	0.125448029	0.111111111	0.132616487	0.100358423	0.103942652
25	6	0.140143369	0.150537634	0.143369176	0.136200717	0.121863799	0.157706093	0.139784946	0.125448029	0.157706093	0.121863799	0.146953405
26	5	0.15734767	0.143369176	0.172043011	0.17562724	0.154121864	0.172043011	0.154121864	0.154121864	0.172043011	0.139784946	0.136200717
27	4	0.193548387	0.200716846	0.193548387	0.207885305	0.17562724	0.189964158	0.204301075	0.200716846	0.182795699	0.193548387	0.186379928
28	3	0.21827957	0.218637993	0.222222222	0.225806452	0.207885305	0.215053763	0.23297491	0.222222222	0.204301075	0.222222222	0.211469534
29	2	0.261648746	0.247311828	0.254480287	0.29390681	0.261648746	0.265232975	0.268817204	0.247311828	0.261648746	0.258064516	0.258064516
30	1	0.336200717	0.35125448	0.329749104	0.379928315	0.326164875	0.326164875	0.304659498	0.322580645	0.326164875	0.336917563	0.358422939
