	num	err.mean	err.1	err.2	err.3	err.4	err.5	err.6	err.7	err.8	err.9	err.10
1	91	0.030041152	0.028806584	0.028806584	0.028806584	0.032921811	0.032921811	0.028806584	0.032921811	0.028806584	0.028806584	0.028806584
2	82	0.030041152	0.028806584	0.032921811	0.028806584	0.028806584	0.032921811	0.032921811	0.028806584	0.032921811	0.028806584	0.024691358
3	74	0.028395062	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.024691358	0.028806584	0.028806584
4	66	0.027983539	0.032921811	0.024691358	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.024691358	0.028806584	0.024691358
5	60	0.029218107	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.032921811	0.028806584	0.028806584	0.028806584
6	54	0.02962963	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.032921811	0.032921811	0.028806584	0.028806584	0.028806584
7	48	0.027572016	0.028806584	0.028806584	0.020576132	0.028806584	0.024691358	0.032921811	0.028806584	0.028806584	0.028806584	0.024691358
8	44	0.026748971	0.028806584	0.028806584	0.028806584	0.028806584	0.024691358	0.028806584	0.024691358	0.028806584	0.024691358	0.020576132
9	39	0.025925926	0.028806584	0.028806584	0.024691358	0.028806584	0.024691358	0.024691358	0.024691358	0.024691358	0.028806584	0.020576132
10	35	0.025925926	0.032921811	0.024691358	0.024691358	0.028806584	0.024691358	0.024691358	0.024691358	0.028806584	0.028806584	0.016460905
11	32	0.025925926	0.028806584	0.028806584	0.024691358	0.028806584	0.024691358	0.024691358	0.024691358	0.028806584	0.024691358	0.020576132
12	29	0.024279835	0.032921811	0.024691358	0.024691358	0.028806584	0.020576132	0.024691358	0.024691358	0.020576132	0.024691358	0.016460905
13	26	0.023045267	0.028806584	0.024691358	0.020576132	0.028806584	0.016460905	0.024691358	0.024691358	0.020576132	0.024691358	0.016460905
14	23	0.024691358	0.028806584	0.024691358	0.020576132	0.028806584	0.028806584	0.024691358	0.028806584	0.020576132	0.024691358	0.016460905
15	21	0.022633745	0.028806584	0.024691358	0.020576132	0.024691358	0.020576132	0.024691358	0.024691358	0.016460905	0.024691358	0.016460905
16	19	0.022633745	0.028806584	0.020576132	0.020576132	0.028806584	0.016460905	0.024691358	0.024691358	0.020576132	0.024691358	0.016460905
17	17	0.021399177	0.032921811	0.020576132	0.020576132	0.020576132	0.016460905	0.020576132	0.024691358	0.020576132	0.020576132	0.016460905
18	15	0.0218107	0.028806584	0.020576132	0.020576132	0.024691358	0.020576132	0.020576132	0.024691358	0.020576132	0.020576132	0.016460905
19	14	0.020987654	0.028806584	0.016460905	0.016460905	0.024691358	0.020576132	0.024691358	0.020576132	0.020576132	0.020576132	0.016460905
20	12	0.020164609	0.020576132	0.016460905	0.016460905	0.028806584	0.020576132	0.016460905	0.028806584	0.020576132	0.016460905	0.016460905
21	11	0.020576132	0.024691358	0.016460905	0.016460905	0.024691358	0.016460905	0.024691358	0.024691358	0.020576132	0.020576132	0.016460905
22	10	0.020576132	0.028806584	0.020576132	0.016460905	0.024691358	0.016460905	0.024691358	0.024691358	0.016460905	0.016460905	0.016460905
23	9	0.022222222	0.024691358	0.024691358	0.024691358	0.024691358	0.024691358	0.020576132	0.024691358	0.016460905	0.020576132	0.016460905
24	8	0.02345679	0.024691358	0.024691358	0.032921811	0.024691358	0.020576132	0.024691358	0.024691358	0.016460905	0.024691358	0.016460905
25	7	0.02345679	0.028806584	0.020576132	0.024691358	0.028806584	0.037037037	0.020576132	0.024691358	0.016460905	0.016460905	0.016460905
26	6	0.025925926	0.032921811	0.032921811	0.024691358	0.020576132	0.037037037	0.020576132	0.024691358	0.024691358	0.020576132	0.020576132
27	5	0.028806584	0.032921811	0.041152263	0.028806584	0.028806584	0.028806584	0.028806584	0.028806584	0.024691358	0.020576132	0.024691358
28	4	0.036625514	0.037037037	0.053497942	0.041152263	0.028806584	0.037037037	0.041152263	0.037037037	0.024691358	0.028806584	0.037037037
29	3	0.042798354	0.032921811	0.04526749	0.028806584	0.049382716	0.032921811	0.04526749	0.061728395	0.04526749	0.041152263	0.04526749
30	2	0.074897119	0.0781893	0.098765432	0.065843621	0.074074074	0.082304527	0.065843621	0.061728395	0.069958848	0.069958848	0.082304527
31	1	0.175720165	0.189300412	0.193415638	0.164609053	0.16872428	0.164609053	0.185185185	0.176954733	0.164609053	0.164609053	0.185185185
