Figure 4A	Study1	Study24	Study5	mean	test		Figure 4B	Study1	Study24	Study36	Study5	mean	test
Study1	1	0.9322	0.7682	0.900133333			Study1	1	0.9993	0.966	0.9639	0.9823	
Study24	0.897	1	0.6543	0.850433333			Study24	0.9981	1	0.9973	0.9517	0.986775	
Study5	0.8627	0.5866	0.9306	0.7933			Study36	0.997	1	1	0.9748	0.99295	
mean	0.9199	0.8396	0.784366667	0.847955556			Study5	0.9954	0.9986	0.9852	0.9762	0.98885	
LODO	0.8074	0.8342	0.749	0.796866667			mean	0.997625	0.999475	0.987125	0.96665	0.98771875	
							LODO	0.9994	1	0.9776	0.9664	0.98585	
													
													
													
													
Trian							Trian						
