	value	group1	group2
1	0.9722	all	Study1
2	0.977	p	Study1
3	0.9994	imp	Study1
4	0.9948	31	Study1
5	0.9875	15	Study1
6	0.9875	7	Study1
7	0.9634	3	Study1
8	1	all	Study24
9	1	p	Study24
10	1	imp	Study24
11	1	31	Study24
12	1	15	Study24
13	1	7	Study24
14	0.9979	3	Study24
15	0.9698	all	Study36
16	0.9714	p	Study36
17	0.9776	imp	Study36
18	0.9884	31	Study36
19	0.9887	15	Study36
20	0.9794	7	Study36
21	0.9638	3	Study36
22	0.9416	all	Study5
23	0.9529	p	Study5
24	0.9664	imp	Study5
25	0.9563	31	Study5
26	0.9487	15	Study5
27	0.9286	7	Study5
28	0.8992	3	Study5
