	Outcome	samplesize	OR	low	hi	95%CI	p-value
1	Erythrocyte	ukb-d-30010_irnt					
2	family.FamilyXI		1.025627707	1.011175959	1.040286	1.01-1.04	0.000474009
3	genus.Allisonella		0.981328888	0.969347254	0.993458621	0.97-0.99	0.00263763
4	genus.Bilophila		0.975766927	0.956931612	0.994972978	0.96-0.99	0.013633907
5	genus.Eisenbergiella		0.982332441	0.967778916	0.997104822	0.97-1.00	0.019246225
6	genus.Prevotella9		0.981854362	0.966997458	0.996939527	0.97-1.00	0.018571437
7	Erythrocyte	ebi-a-GCST004601					
8	class.Actinobacteria		0.963369025	0.932670228	0.995078272	0.93-1.00	0.023907729
9	family.FamilyXI		1.029221426	1.003901949	1.055179488	1.00-1.06	0.023424336
10	family.Oxalobacteraceae		1.028060478	1.004540678	1.052130959	1.00-1.05	0.01909488
11	genus..Eubacteriumoxidoreducensgroup		0.96094188	0.927576178	0.995507775	0.93-1.00	0.027125113
12	genus.Adlercreutzia		0.963823775	0.933971375	0.994630342	0.93-0.99	0.021709658
13	genus.Lachnospira		0.860821196	0.802511689	0.923367401	0.80-0.92	2.82E-05
14	genus.RuminococcaceaeUCG005		0.945328488	0.911673909	0.980225431	0.91-0.98	0.002366565
15	Hemoglobin concentration	ebi-a-GCST004615					
16	class.Bacilli		1.036063252	1.004177079	1.068961924	1.00-1.07	0.026326682
17	genus.Eggerthella		1.02780209	1.001177553	1.05513466	1.00-1.06	0.040571132
18	genus.Lachnospira		0.879872721	0.80319097	0.963875386	0.80-0.96	0.005943821
19	genus.LachnospiraceaeUCG008		0.968577267	0.944307426	0.993470872	0.94-0.99	0.013665311
20	genus.Olsenella		1.026278123	1.000207709	1.053028062	1.00-1.05	0.048175164
21	genus.RuminococcaceaeUCG013		1.045392152	1.002433883	1.090191354	1.00-1.09	0.038121287
22	genus.RuminococcaceaeUCG014		0.944925876	0.912389009	0.978623046	0.91-0.98	0.001531186
23	Hematocrit	ebi-a-GCST90002304					
31	phylum.Cyanobacteria		0.984399933	0.973233491	0.995694493	0.97-1.00	0.006906729
32	order.Bacillales		1.023737486	1.008430401	1.03927692	1.01-1.04	0.002271578
24	family.Peptostreptococcaceae		0.972383475	0.954334387	0.990773921	0.95-0.99	0.003393695
25	genus.Akkermansia		0.980399269	0.96275291	0.998369069	0.96-1.00	0.032668072
26	genus.Allisonella		0.980522179	0.970188939	0.990965477	0.97-0.99	0.00027369
27	genus.Bilophila		0.964741295	0.94251287	0.98749396	0.94-0.99	0.00254305
28	genus.Eggerthella		1.029819044	1.012688363	1.047239508	1.01-1.05	0.000596442
29	genus.Prevotella9		0.985277112	0.971151394	0.999608293	0.97-1.00	0.04409608
30	genus.RuminococcaceaeUCG014		0.969503984	0.952078069	0.987248846	0.95-0.99	0.000817531
33	Hypoxia-inducible factor 1-alpha	prot-a-1337					
34	phylum.Firmicutes		1.336726259	1.045048748	1.709812192	1.05-1.71	0.020841301
35	genus.RuminococcaceaeNK4A214group		0.769851007	0.602747437	0.983281782	0.60-0.98	0.036167222
