#OTU ID	Group	Study
AHH1	HH	Study1
AHH10	HH	Study1
AHH11	HH	Study1
AHH12	HH	Study1
AHH13	HH	Study1
AHH14	HH	Study1
AHH15	HH	Study1
AHH16	HH	Study1
AHH17	HH	Study1
AHH18	HH	Study1
AHH19	HH	Study1
AHH2	HH	Study1
AHH20	HH	Study1
AHH21	HH	Study1
AHH22	HH	Study1
AHH23	HH	Study1
AHH24	HH	Study1
AHH25	HH	Study1
AHH26	HH	Study1
AHH27	HH	Study1
AHH28	HH	Study1
AHH29	HH	Study1
AHH3	HH	Study1
AHH30	HH	Study1
AHH31	HH	Study1
AHH32	HH	Study1
AHH33	HH	Study1
AHH34	HH	Study1
AHH35	HH	Study1
AHH36	HH	Study1
AHH37	HH	Study1
AHH38	HH	Study1
AHH39	HH	Study1
AHH4	HH	Study1
AHH40	HH	Study1
AHH41	HH	Study1
AHH42	HH	Study1
AHH43	HH	Study1
AHH44	HH	Study1
AHH45	HH	Study1
AHH46	HH	Study1
AHH47	HH	Study1
AHH48	HH	Study1
AHH49	HH	Study1
AHH5	HH	Study1
AHH50	HH	Study1
AHH6	HH	Study1
AHH7	HH	Study1
AHH8	HH	Study1
AHH9	HH	Study1
AHT1	HT	Study1
AHT10	HT	Study1
AHT11	HT	Study1
AHT12	HT	Study1
AHT13	HT	Study1
AHT14	HT	Study1
AHT15	HT	Study1
AHT16	HT	Study1
AHT17	HT	Study1
AHT18	HT	Study1
AHT19	HT	Study1
AHT2	HT	Study1
AHT20	HT	Study1
AHT21	HT	Study1
AHT22	HT	Study1
AHT23	HT	Study1
AHT24	HT	Study1
AHT25	HT	Study1
AHT26	HT	Study1
AHT27	HT	Study1
AHT28	HT	Study1
AHT29	HT	Study1
AHT3	HT	Study1
AHT30	HT	Study1
AHT31	HT	Study1
AHT32	HT	Study1
AHT33	HT	Study1
AHT34	HT	Study1
AHT35	HT	Study1
AHT36	HT	Study1
AHT37	HT	Study1
AHT38	HT	Study1
AHT39	HT	Study1
AHT4	HT	Study1
AHT40	HT	Study1
AHT41	HT	Study1
AHT42	HT	Study1
AHT43	HT	Study1
AHT44	HT	Study1
AHT45	HT	Study1
AHT46	HT	Study1
AHT47	HT	Study1
AHT48	HT	Study1
AHT49	HT	Study1
AHT5	HT	Study1
AHT50	HT	Study1
AHT51	HT	Study1
AHT52	HT	Study1
AHT53	HT	Study1
AHT54	HT	Study1
AHT55	HT	Study1
AHT56	HT	Study1
AHT57	HT	Study1
AHT58	HT	Study1
AHT59	HT	Study1
AHT6	HT	Study1
AHT60	HT	Study1
AHT61	HT	Study1
AHT62	HT	Study1
AHT63	HT	Study1
AHT64	HT	Study1
AHT65	HT	Study1
AHT66	HT	Study1
AHT67	HT	Study1
AHT68	HT	Study1
AHT69	HT	Study1
AHT7	HT	Study1
AHT70	HT	Study1
AHT71	HT	Study1
AHT72	HT	Study1
AHT73	HT	Study1
AHT74	HT	Study1
AHT75	HT	Study1
AHT76	HT	Study1
AHT77	HT	Study1
AHT78	HT	Study1
AHT79	HT	Study1
AHT8	HT	Study1
AHT80	HT	Study1
AHT81	HT	Study1
AHT82	HT	Study1
AHT83	HT	Study1
AHT84	HT	Study1
AHT85	HT	Study1
AHT86	HT	Study1
AHT87	HT	Study1
AHT88	HT	Study1
AHT89	HT	Study1
AHT9	HT	Study1
AHT90	HT	Study1
AHT91	HT	Study1
ALH1	LA	Study1
ALH10	LA	Study1
