Name	Group	Study
AHH1	HH	Study1
AHH10	HH	Study1
AHH11	HH	Study1
AHH12	HH	Study1
AHH13	HH	Study1
AHH14	HH	Study1
AHH15	HH	Study1
AHH16	HH	Study1
AHH17	HH	Study1
AHH18	HH	Study1
AHH19	HH	Study1
AHH2	HH	Study1
AHH20	HH	Study1
AHH21	HH	Study1
AHH22	HH	Study1
AHH23	HH	Study1
AHH24	HH	Study1
AHH25	HH	Study1
AHH26	HH	Study1
AHH27	HH	Study1
AHH28	HH	Study1
AHH29	HH	Study1
AHH3	HH	Study1
AHH30	HH	Study1
AHH31	HH	Study1
AHH32	HH	Study1
AHH33	HH	Study1
AHH34	HH	Study1
AHH35	HH	Study1
AHH36	HH	Study1
AHH37	HH	Study1
AHH38	HH	Study1
AHH39	HH	Study1
AHH4	HH	Study1
AHH40	HH	Study1
AHH41	HH	Study1
AHH42	HH	Study1
AHH43	HH	Study1
AHH44	HH	Study1
AHH45	HH	Study1
AHH46	HH	Study1
AHH47	HH	Study1
AHH48	HH	Study1
AHH49	HH	Study1
AHH5	HH	Study1
AHH50	HH	Study1
AHH6	HH	Study1
AHH7	HH	Study1
AHH8	HH	Study1
AHH9	HH	Study1
ALH1	LA	Study1
ALH10	LA	Study1
ALH11	LA	Study1
ALH12	LA	Study1
ALH13	LA	Study1
ALH14	LA	Study1
ALH15	LA	Study1
ALH16	LA	Study1
ALH17	LA	Study1
ALH18	LA	Study1
ALH19	LA	Study1
ALH2	LA	Study1
ALH20	LA	Study1
ALH21	LA	Study1
ALH22	LA	Study1
ALH23	LA	Study1
ALH24	LA	Study1
ALH25	LA	Study1
ALH26	LA	Study1
ALH27	LA	Study1
ALH28	LA	Study1
ALH29	LA	Study1
ALH3	LA	Study1
ALH30	LA	Study1
ALH31	LA	Study1
ALH32	LA	Study1
ALH33	LA	Study1
ALH34	LA	Study1
ALH35	LA	Study1
ALH36	LA	Study1
ALH37	LA	Study1
ALH38	LA	Study1
ALH39	LA	Study1
ALH4	LA	Study1
ALH40	LA	Study1
ALH41	LA	Study1
ALH42	LA	Study1
ALH43	LA	Study1
ALH44	LA	Study1
ALH45	LA	Study1
ALH46	LA	Study1
ALH47	LA	Study1
ALH48	LA	Study1
ALH49	LA	Study1
ALH5	LA	Study1
ALH50	LA	Study1
ALH51	LA	Study1
ALH52	LA	Study1
ALH53	LA	Study1
ALH54	LA	Study1
ALH55	LA	Study1
ALH56	LA	Study1
ALH57	LA	Study1
ALH58	LA	Study1
ALH59	LA	Study1
ALH6	LA	Study1
ALH60	LA	Study1
ALH61	LA	Study1
ALH62	LA	Study1
ALH63	LA	Study1
ALH64	LA	Study1
ALH65	LA	Study1
ALH66	LA	Study1
ALH67	LA	Study1
ALH68	LA	Study1
ALH69	LA	Study1
ALH7	LA	Study1
ALH70	LA	Study1
ALH71	LA	Study1
ALH72	LA	Study1
ALH73	LA	Study1
ALH74	LA	Study1
ALH75	LA	Study1
ALH76	LA	Study1
ALH77	LA	Study1
ALH78	LA	Study1
ALH79	LA	Study1
ALH8	LA	Study1
ALH80	LA	Study1
ALH81	LA	Study1
ALH82	LA	Study1
ALH83	LA	Study1
ALH84	LA	Study1
ALH85	LA	Study1
ALH86	LA	Study1
ALH87	LA	Study1
ALH88	LA	Study1
ALH89	LA	Study1
ALH9	LA	Study1
ALH90	LA	Study1
ALH91	LA	Study1
ALH92	LA	Study1
ALH93	LA	Study1
