Name	Group	Study
AHT1	HT	Study1
AHT10	HT	Study1
AHT11	HT	Study1
AHT12	HT	Study1
AHT13	HT	Study1
AHT14	HT	Study1
AHT15	HT	Study1
AHT16	HT	Study1
AHT17	HT	Study1
AHT18	HT	Study1
AHT19	HT	Study1
AHT2	HT	Study1
AHT20	HT	Study1
AHT21	HT	Study1
AHT22	HT	Study1
AHT23	HT	Study1
AHT24	HT	Study1
AHT25	HT	Study1
AHT26	HT	Study1
AHT27	HT	Study1
AHT28	HT	Study1
AHT29	HT	Study1
AHT3	HT	Study1
AHT30	HT	Study1
AHT31	HT	Study1
AHT32	HT	Study1
AHT33	HT	Study1
AHT34	HT	Study1
AHT35	HT	Study1
AHT36	HT	Study1
AHT37	HT	Study1
AHT38	HT	Study1
AHT39	HT	Study1
AHT4	HT	Study1
AHT40	HT	Study1
AHT41	HT	Study1
AHT42	HT	Study1
AHT43	HT	Study1
AHT44	HT	Study1
AHT45	HT	Study1
AHT46	HT	Study1
AHT47	HT	Study1
AHT48	HT	Study1
AHT49	HT	Study1
AHT5	HT	Study1
AHT50	HT	Study1
AHT51	HT	Study1
AHT52	HT	Study1
AHT53	HT	Study1
AHT54	HT	Study1
AHT55	HT	Study1
AHT56	HT	Study1
AHT57	HT	Study1
AHT58	HT	Study1
AHT59	HT	Study1
AHT6	HT	Study1
AHT60	HT	Study1
AHT61	HT	Study1
AHT62	HT	Study1
AHT63	HT	Study1
AHT64	HT	Study1
AHT65	HT	Study1
AHT66	HT	Study1
AHT67	HT	Study1
AHT68	HT	Study1
AHT69	HT	Study1
AHT7	HT	Study1
AHT70	HT	Study1
AHT71	HT	Study1
AHT72	HT	Study1
AHT73	HT	Study1
AHT74	HT	Study1
AHT75	HT	Study1
AHT76	HT	Study1
AHT77	HT	Study1
AHT78	HT	Study1
AHT79	HT	Study1
AHT8	HT	Study1
AHT80	HT	Study1
AHT81	HT	Study1
AHT82	HT	Study1
AHT83	HT	Study1
AHT84	HT	Study1
AHT85	HT	Study1
AHT86	HT	Study1
AHT87	HT	Study1
