Name	Group	Study
ALH1	LA	Study1
ALH10	LA	Study1
ALH11	LA	Study1
ALH12	LA	Study1
ALH13	LA	Study1
ALH14	LA	Study1
ALH15	LA	Study1
ALH16	LA	Study1
ALH17	LA	Study1
ALH18	LA	Study1
ALH19	LA	Study1
ALH2	LA	Study1
ALH20	LA	Study1
ALH21	LA	Study1
ALH22	LA	Study1
ALH23	LA	Study1
ALH24	LA	Study1
ALH25	LA	Study1
ALH26	LA	Study1
ALH27	LA	Study1
ALH28	LA	Study1
ALH29	LA	Study1
ALH3	LA	Study1
ALH30	LA	Study1
ALH31	LA	Study1
ALH32	LA	Study1
ALH33	LA	Study1
ALH34	LA	Study1
ALH35	LA	Study1
ALH36	LA	Study1
ALH37	LA	Study1
ALH38	LA	Study1
ALH39	LA	Study1
ALH4	LA	Study1
ALH40	LA	Study1
ALH41	LA	Study1
ALH42	LA	Study1
ALH43	LA	Study1
ALH44	LA	Study1
ALH45	LA	Study1
ALH46	LA	Study1
ALH47	LA	Study1
ALH48	LA	Study1
ALH49	LA	Study1
ALH5	LA	Study1
ALH50	LA	Study1
ALH51	LA	Study1
ALH52	LA	Study1
ALH53	LA	Study1
ALH54	LA	Study1
ALH55	LA	Study1
ALH56	LA	Study1
ALH57	LA	Study1
ALH58	LA	Study1
ALH59	LA	Study1
ALH6	LA	Study1
ALH60	LA	Study1
ALH61	LA	Study1
ALH62	LA	Study1
ALH63	LA	Study1
ALH64	LA	Study1
ALH65	LA	Study1
ALH66	LA	Study1
ALH67	LA	Study1
ALH68	LA	Study1
ALH69	LA	Study1
ALH7	LA	Study1
ALH70	LA	Study1
ALH71	LA	Study1
ALH72	LA	Study1
ALH73	LA	Study1
ALH74	LA	Study1
ALH75	LA	Study1
ALH76	LA	Study1
ALH77	LA	Study1
ALH78	LA	Study1
ALH79	LA	Study1
ALH8	LA	Study1
ALH80	LA	Study1
ALH81	LA	Study1
ALH82	LA	Study1
ALH83	LA	Study1
ALH84	LA	Study1
ALH85	LA	Study1
ALH86	LA	Study1
ALH87	LA	Study1
ALH88	LA	Study1
ALH89	LA	Study1
ALH9	LA	Study1
ALH90	LA	Study1
ALH91	LA	Study1
ALH92	LA	Study1
ALH93	LA	Study1
ALH94	LA	Study1
ALH95	LA	Study1
ALH96	LA	Study1
GLH10	LA	Study4
GLH12	LA	Study4
GLH13	LA	Study4
GLH15	LA	Study4
GLH16	LA	Study4
GLH17	LA	Study4
GLH18	LA	Study4
GLH21	LA	Study4
GLH22	LA	Study4
GLH23	LA	Study4
GLH24	LA	Study4
GLH25	LA	Study4
GLH26	LA	Study4
GLH27	LA	Study4
GLH28	LA	Study4
GLH29	LA	Study4
GLH30	LA	Study4
GLH31	LA	Study4
GLH32	LA	Study4
GLH33	LA	Study4
GLH34	LA	Study4
GLH35	LA	Study4
GLH36	LA	Study4
GLH37	LA	Study4
GLH38	LA	Study4
GLH39	LA	Study4
GLH40	LA	Study4
GLH41	LA	Study4
GLH43	LA	Study4
GLH44	LA	Study4
GLH45	LA	Study4
GLH46	LA	Study4
GLH47	LA	Study4
GLH48	LA	Study4
GLH49	LA	Study4
GLH50	LA	Study4
GLH51	LA	Study4
GLH52	LA	Study4
GLH53	LA	Study4
GLH55	LA	Study4
GLH56	LA	Study4
GLH57	LA	Study4
GLH58	LA	Study4
GLH59	LA	Study4
GLH61	LA	Study4
GLH62	LA	Study4
GLH63	LA	Study4
GLH64	LA	Study4
GLH65	LA	Study4
GLH66	LA	Study4
GLH68	LA	Study4
GLH69	LA	Study4
GLH7	LA	Study4
GLH71	LA	Study4
GLH73	LA	Study4
GLH74	LA	Study4
GLH76	LA	Study4
GLH77	LA	Study4
GLH79	LA	Study4
GLH8	LA	Study4
GLH80	LA	Study4
GLH81	LA	Study4
GLH82	LA	Study4
GLH84	LA	Study4
GLH85	LA	Study4
GLH87	LA	Study4
GLH88	LA	Study4
GLH89	LA	Study4
GLH90	LA	Study4
GLH91	LA	Study4
GLH92	LA	Study4
GLH94	LA	Study4
GLH95	LA	Study4
HLH1	LA	Study5
HLH10	LA	Study5
HLH11	LA	Study5
HLH12	LA	Study5
HLH13	LA	Study5
HLH14	LA	Study5
HLH15	LA	Study5
HLH16	LA	Study5
HLH17	LA	Study5
HLH18	LA	Study5
HLH19	LA	Study5
HLH2	LA	Study5
HLH20	LA	Study5
HLH21	LA	Study5
HLH22	LA	Study5
HLH23	LA	Study5
HLH24	LA	Study5
HLH25	LA	Study5
HLH26	LA	Study5
HLH27	LA	Study5
HLH28	LA	Study5
HLH29	LA	Study5
HLH3	LA	Study5
HLH30	LA	Study5
HLH31	LA	Study5
HLH32	LA	Study5
HLH33	LA	Study5
HLH34	LA	Study5
HLH35	LA	Study5
HLH4	LA	Study5
HLH5	LA	Study5
HLH6	LA	Study5
HLH7	LA	Study5
