	Axis1	Axis2	Group	Study
AHH1	-0.129584514	0.005277199	HH	Study1
AHH10	0.054125975	0.009198808	HH	Study1
AHH11	-0.055943478	0.103318338	HH	Study1
AHH12	0.061408374	-0.049842967	HH	Study1
AHH13	0.068871718	-0.051245877	HH	Study1
AHH14	0.064553038	-0.02168489	HH	Study1
AHH15	-0.030230808	-0.193460693	HH	Study1
AHH16	0.061237433	-0.040346148	HH	Study1
AHH17	-0.000557199	-0.089891947	HH	Study1
AHH18	-0.10760845	0.021870576	HH	Study1
AHH19	0.085253459	-0.184034835	HH	Study1
AHH2	-0.045932451	0.046156174	HH	Study1
AHH20	0.015002735	0.021006472	HH	Study1
AHH21	0.119598812	0.043738679	HH	Study1
AHH22	-0.150026698	0.113001951	HH	Study1
AHH23	0.039659508	-0.178878263	HH	Study1
AHH24	0.071519982	0.164059989	HH	Study1
AHH25	0.121409025	-0.02333341	HH	Study1
AHH26	0.066238759	-0.024444658	HH	Study1
AHH27	0.074201139	-0.012108915	HH	Study1
AHH28	-0.11952366	-0.077026461	HH	Study1
AHH29	0.01055021	-0.162446833	HH	Study1
AHH3	0.015613755	0.005195979	HH	Study1
AHH30	0.028424807	0.000910661	HH	Study1
AHH31	0.057316849	-0.20278018	HH	Study1
AHH32	0.051756951	0.072324031	HH	Study1
AHH33	0.11064152	-0.119785463	HH	Study1
AHH34	0.077539037	0.192318774	HH	Study1
AHH35	0.067203378	0.087954806	HH	Study1
AHH36	-0.140495246	0.077987467	HH	Study1
AHH37	0.081360258	-0.008496776	HH	Study1
AHH38	0.015414342	0.058333023	HH	Study1
AHH39	-0.024357509	0.237118874	HH	Study1
AHH4	0.091792241	-0.053279393	HH	Study1
AHH40	0.038177704	-0.07130782	HH	Study1
AHH41	-0.037249614	0.110120534	HH	Study1
AHH42	-0.014765473	0.129776999	HH	Study1
AHH43	0.02503553	-0.071237227	HH	Study1
AHH44	-0.216239458	-0.008561764	HH	Study1
AHH45	0.091583961	-0.022498675	HH	Study1
AHH46	-0.126170193	0.197435376	HH	Study1
AHH47	0.092331038	0.097174393	HH	Study1
AHH48	-0.304365984	-0.026729697	HH	Study1
AHH49	0.064033242	0.024095994	HH	Study1
AHH5	-0.11713277	-0.07223147	HH	Study1
AHH50	0.057199409	-0.072666376	HH	Study1
AHH6	0.02109151	-0.143180938	HH	Study1
AHH7	0.068058495	-0.069732997	HH	Study1
AHH8	0.100401625	-0.013449429	HH	Study1
AHH9	0.067655261	-0.030509139	HH	Study1
AHT1	0.050347349	-0.01695209	HT	Study1
AHT10	-0.050711693	-0.118085835	HT	Study1
AHT11	0.045161269	-0.27855584	HT	Study1
AHT12	0.050647673	-0.25853067	HT	Study1
AHT13	0.069231247	-0.312408194	HT	Study1
AHT14	0.059439144	-0.313509018	HT	Study1
AHT15	0.10664499	-0.110461786	HT	Study1
AHT16	0.086174207	-0.273964061	HT	Study1
AHT17	0.057969821	-0.299161028	HT	Study1
AHT18	-0.140469736	0.090751827	HT	Study1
AHT19	-0.009343419	-0.236061712	HT	Study1
AHT2	0.048776072	-0.126603503	HT	Study1
AHT20	-0.014915219	-0.28848036	HT	Study1
AHT21	0.126337356	-0.226093849	HT	Study1
AHT22	0.06591759	-0.030412537	HT	Study1
AHT23	0.103661383	-0.204961117	HT	Study1
AHT24	0.063701098	-0.339296342	HT	Study1
